n_samples,n_hidden,activation,training_time,val_loss,val_accuracy,val_precision,val_recall,test_loss,test_accuracy,test_precision,test_recall,val_f1,test_f1
7500,64,softmax,118.13137197494507,0.4792871061960856,0.8123819780349731,0.0,0.0,0.4737785654598951,0.812522756947457,0.0,0.0,,
7500,32,softmax,100.6844391822815,0.4843819546699524,0.8123819780349731,0.0,0.0,0.4811415696817197,0.812522756947457,0.0,0.0,,
15000,96,softmax,166.15043115615845,0.4801162799199422,0.8114162111282348,0.0,0.0,0.4827328145538165,0.812522756947457,0.0,0.0,,
7500,16,softmax,73.7821319103241,0.4903642507394155,0.8123819780349731,0.0,0.0,0.48416834073683085,0.812522756947457,0.0,0.0,,
7500,96,softmax,115.5290060043335,0.49349252740542093,0.8123819780349731,0.0,0.0,0.48716895182756614,0.812522756947457,0.0,0.0,,
3750,16,softmax,39.245193004608154,0.497875450770738,0.8119921339854502,0.0,0.0,0.4968616109790895,0.812522756947457,0.0,0.0,,
3750,96,softmax,60.296382904052734,0.5010252071341981,0.8119921339854502,0.0,0.0,0.49921381229245926,0.812522756947457,0.0,0.0,,
1875,64,softmax,33.87943983078003,0.49966518838268353,0.8117904852448242,0.0,0.0,0.5015460948405617,0.812522756947457,0.0,0.0,,
3750,32,softmax,41.8901948928833,0.5032292416354994,0.8119921339854502,0.0,0.0,0.5034036181416544,0.812522756947457,0.0,0.0,,
1875,16,softmax,34.24905800819397,0.5083079714256563,0.8117904852448242,0.0,0.0,0.5037611198309124,0.812522756947457,0.0,0.0,,
3750,64,softmax,29.121246814727783,0.5123579620298292,0.8119921339854502,0.0,0.0,0.5104506689383533,0.812522756947457,0.0,0.0,,
1000,64,softmax,22.319824934005737,0.5256759881973266,0.8105945229530335,0.0,0.0,0.5108261665323465,0.812522756947457,0.0,0.0,,
1000,32,softmax,17.509727001190186,0.5263728976249695,0.8105945229530335,0.0,0.0,0.5153553502953951,0.812522756947457,0.0,0.0,,
1875,96,softmax,25.69375491142273,0.5291014131960838,0.8117904852448242,0.0,0.0,0.5275495676230345,0.812522756947457,0.0,0.0,,
1875,32,softmax,15.707597970962524,0.529115459303866,0.8117904852448242,0.0,0.0,0.5281196794731291,0.812522756947457,0.0,0.0,,
1000,96,softmax,25.392355918884277,0.5411628484725952,0.8105945229530335,0.0,0.0,0.5351861035048227,0.812522756947457,0.0,0.0,,
1000,16,softmax,12.280780792236328,0.5475114226341248,0.8105945229530335,0.0,0.0,0.5381356213454292,0.812522756947457,0.0,0.0,,
